rank,state,percentage_increase
1,New York,125.2836304700162
2,Idaho,120.56483262793382
3,New Hampshire,110.94599492569772
4,Montana,109.42239432074862
5,Wisconsin,104.42266949152543
6,Maine,102.94520547945206
7,Tennessee,102.62677021470992
8,Indiana,101.95286195286195
9,Kansas,101.06918238993711
10,Ohio,99.69621157969979
11,Nebraska,89.44736842105263
12,Missouri,87.55472170106316
13,Washington,87.36734990550951
14,Vermont,86.53614457831326
15,Utah,85.87846153846154
16,Arkansas,85.81164807930607
17,Iowa,84.61194029850746
18,Wyoming,84.0242669362993
19,Kentucky,82.4014125956445
20,Massachusetts,82.23211845102506
21,Delaware,78.61557699178277
22,Alabama,78.02582033351264
23,New Jersey,77.88461538461539
24,South Dakota,77.3510784763653
25,Michigan,75.16616314199396
26,Arizona,73.38067796610169
27,New Mexico,69.40393013100436
28,Mississippi,69.03790087463557
29,Pennsylvania,69.01027582477015
30,Georgia,67.04980842911877
31,Oklahoma,66.75931072818231
32,Minnesota,66.10861576153532
33,Nevada,66.06983050847458
34,North Carolina,65.04016064257027
35,Connecticut,61.36363636363637
36,Rhode Island,57.91148832979691
37,Oregon,57.18802228412257
38,Virginia,54.736842105263165
39,North Dakota,50.384029595390835
40,Florida,50.00050000166667
41,California,49.80582524271845
42,South Carolina,46.46519383076282
43,Alaska,46.02076124567474
44,West Virginia,45.54275318374773
45,Illinois,44.50867052023121
46,Colorado,43.794272076372316
47,Maryland,40.88029343114371
48,Louisiana,37.379893668438854
49,Texas,34.16815742397138
50,Hawaii,28.42835130970724
51,District of Columbia,7.777202966028626
